student_id,major,course_code,subject,course_area,course_type,grade,grade_points,semester_taken,course_level,prerequisite_count,prerequisite_depth,credit_hours,is_lab,graph_centrality,prior_gpa,recent_grade_avg_before,prereq_avg_before,subject_avg_before,area_strength_before,weak_area_flag,strong_area_flag,prior_credits,completed_courses_before,term_credit_load,prerequisite_completed_ratio,course_pressure,latent_area_strength
1,CSE,EECE230,EECE,computing,core,B,3.0,1,200,0,0,3.0,0,0.021053,3.413,3.413,3.413,3.413,3.413,0,0,0.0,0,14.0,1.0,0.3996,0.528
1,CSE,EECE290,EECE,circuits,core,B,3.0,1,200,0,0,3.0,0,0.010526,3.0,3.0,3.0,3.0,3.0,0,0,3.0,1,14.0,1.0,0.399,0.617
1,CSE,EECE211,EECE,lab_project,core,C-,1.7,1,200,1,1,1.0,1,0.0,3.0,3.0,3.0,3.0,3.0,0,0,6.0,2,14.0,0.0,0.4755,0.415
1,CSE,EECE320,EECE,systems_control,core,B-,2.7,1,300,1,1,3.0,0,0.042105,2.814,2.567,3.0,2.567,2.814,0,0,7.0,3,14.0,1.0,0.5006,0.549
1,CSE,EECE330,EECE,computing,core,B-,2.7,1,300,1,1,3.0,0,0.084211,2.78,2.6,3.0,2.6,3.0,0,0,10.0,4,14.0,1.0,0.5027,0.528
1,CSE,EECE331,EECE,computing,core,C+,2.3,2,300,1,1,3.0,0,0.010526,2.762,2.62,3.0,2.62,2.85,0,0,13.0,5,13.0,1.0,0.499,0.528
1,CSE,EECE321,EECE,computing,core,B,3.0,2,300,1,2,3.0,0,0.031579,2.675,2.567,2.7,2.567,2.667,0,0,16.0,6,13.0,1.0,0.5141,0.528
1,CSE,EECE332,EECE,computing,core,B-,2.7,2,300,1,2,3.0,0,0.0,2.726,2.629,2.7,2.629,2.75,0,0,19.0,7,13.0,1.0,0.5125,0.528
1,CSE,EECE334,EECE,computing,core,B-,2.7,2,300,1,2,3.0,0,0.010526,2.723,2.638,2.7,2.638,2.74,0,0,22.0,8,13.0,1.0,0.513,0.528
1,CSE,EECE351,EECE,systems_control,core,B-,2.7,3,300,2,2,3.0,0,0.010526,2.72,2.6,2.7,2.644,2.7,0,0,25.0,9,13.0,1.0,0.531,0.549
1,CSE,EECE430,EECE,computing,core,B+,3.3,3,400,1,2,3.0,0,0.0,2.718,2.562,2.3,2.65,2.733,0,0,28.0,10,13.0,1.0,0.5805,0.528
